Taran   401|600   Puciaty   402|557   rugasz   43   2021/02/05 14:36:19   3/4   2021/02/06 13:00:26   
Taran   401|600   Puciaty   424|558   rugasz   47   2021/02/05 14:36:28   4/4   2021/02/06 15:32:52   
Taran   401|600   Puciaty   419|563   rugasz   41   2021/02/05 14:36:38   2/4   2021/02/06 12:02:26   
Taran   401|595   Puciaty   419|563   rugasz   36   2021/02/05 14:36:50   2/4   2021/02/06 09:44:11   
Taran   401|595   Puciaty   410|560   rugasz   36   2021/02/05 14:36:57   1/4   2021/02/06 09:26:17   
Taran   401|595   Puciaty   407|550   rugasz   45   2021/02/05 14:37:15   4/4   2021/02/06 14:15:56   
Taran   400|598   Puciaty   404|555   rugasz   43   2021/02/05 14:37:52   5/5   2021/02/06 13:07:25   
Taran   400|598   Puciaty   407|557   rugasz   41   2021/02/05 14:38:00   4/5   2021/02/06 12:17:47   
Taran   400|598   Puciaty   405|561   rugasz   37   2021/02/05 14:38:07   2/5   2021/02/06 10:04:53   
Taran   400|598   Puciaty   419|564   rugasz   38   2021/02/05 14:38:16   3/5   2021/02/06 10:55:24   
Taran   398|594   Puciaty   412|558   rugasz   38   2021/02/05 14:39:01   3/3   2021/02/06 10:46:06   
Taran   398|594   Puciaty   419|564   rugasz   36   2021/02/05 14:42:11   2/3   2021/02/06 09:46:33   
Taran   425|632   luuko2201   460|526   DORODNY_OCHOTNIK   111   2021/02/04 00:43:47   2/5   2021/02/06 10:52:11   
Taran   425|632   luuko2201   449|526   Alu.   108   2021/02/04 00:44:03   1/5   2021/02/06 09:20:24   
Taran   425|632   luuko2201   442|518   Alu.   115   2021/02/04 00:44:09   3/5   2021/02/06 12:46:03   
Taran   440|634   luuko2201   410|555   Alu.   84   2021/02/04 14:15:35   1/4   2021/02/06 10:16:21   
Taran   429|587   luuko2201   459|513   Alu.   79   2021/02/04 14:17:30   1/1   2021/02/06 07:52:49   
Taran   437|624   luuko2201   459|533   DORODNY_OCHOTNIK   93   2021/02/04 14:17:53   3/5   2021/02/06 15:03:34   
Taran   425|632   luuko2201   387|547   DORODNY_OCHOTNIK   93   2021/02/04 14:18:19   5/5   2021/02/06 14:47:55   
Taran (1)   465|595   luuko2201   396|549   fluffy1321   82   2021/02/04 14:18:45   3/3   2021/02/06 09:30:15   
Taran   465|595   luuko2201   426|524   Bebikson   81   2021/02/04 14:18:57   1/3   2021/02/06 08:30:24   
Taran deff   464|596   luuko2201   391|547   wojna3333   87   2021/02/04 14:19:06   2/2   2021/02/06 12:06:37   
Taran   476|597   luuko2201   418|531   Bebikson   87   2021/02/04 14:19:30   4/4   2021/02/06 12:05:15   
Taran   464|601   luuko2201   439|518   Alu.   86   2021/02/04 14:20:15   1/1   2021/02/06 11:29:06   
Taran   476|597   luuko2201   432|524   Bebikson   85   2021/02/04 14:20:42   2/4   2021/02/06 10:44:17   
Taran   460|618   luuko2201   453|524   Primokret   94   2021/02/04 14:20:57   3/3   2021/02/06 15:26:35   
Taran   433|618   luuko2201   398|572   CoTyTutajRobisz   57   2021/02/05 02:06:39   2/5   2021/02/06 08:12:57   
Taran   417|626   luuko2201   399|573   CoTyTutajRobisz   55   2021/02/05 03:03:42   1/6   2021/02/06 08:12:52   
Taran   433|608   luuko2201   399|578   CoTyTutajRobisz   45   2021/02/05 13:41:27   1/4   2021/02/06 13:18:26   
Taran   441|581   luuko2201   400|570   CoTyTutajRobisz   42   2021/02/05 13:42:19   1/1   2021/02/06 11:48:53   
Taran   421|615   luuko2201   398|587   CoTyTutajRobisz   36   2021/02/05 14:40:30   1/3   2021/02/06 09:32:51   
Taran   421|615   luuko2201   398|586   CoTyTutajRobisz   37   2021/02/05 14:41:14   3/3   2021/02/06 09:57:54   
Taran   421|615   luuko2201   399|586   CoTyTutajRobisz   36   2021/02/05 14:41:23   2/3   2021/02/06 09:38:54   
Taran   436|571   luuko2201   397|569   CoTyTutajRobisz   39   2021/02/05 14:42:28   1/3   2021/02/06 11:02:49   
Taran   371|594   FetaAkaMeta   468|539   DORODNY_OCHOTNIK   111   2021/02/04 02:31:03   4/6   2021/02/06 12:35:40   
Taran   426|610   FetaAkaMeta   459|513   Alu.   102   2021/02/04 02:31:50   1/3   2021/02/06 07:53:42   
Taran   430|616   FetaAkaMeta   456|514   Alu.   105   2021/02/04 02:32:07   3/3   2021/02/06 09:21:33   
Taran   430|616   FetaAkaMeta   451|513   Alu.   105   2021/02/04 02:32:13   2/3   2021/02/06 09:17:12   
Taran   430|616   FetaAkaMeta   456|515   DORODNY_OCHOTNIK   104   2021/02/04 02:32:30   1/3   2021/02/06 08:51:39   
fejk   387|583   FetaAkaMeta   476|533   DORODNY_OCHOTNIK   102   2021/02/04 02:32:50   1/4   2021/02/06 07:42:57   
Taran   383|588   FetaAkaMeta   456|515   DORODNY_OCHOTNIK   103   2021/02/04 02:33:17   2/4   2021/02/06 08:19:28   
Taran   383|588   FetaAkaMeta   456|514   Alu.   103   2021/02/04 02:33:24   3/4   2021/02/06 08:41:45   
Taran   383|588   FetaAkaMeta   459|513   Alu.   106   2021/02/04 02:33:32   4/4   2021/02/06 10:10:16   
Taran   383|588   FetaAkaMeta   466|529   DORODNY_OCHOTNIK   101   2021/02/04 02:33:42   1/4   2021/02/06 07:36:00   
Taran   383|587   FetaAkaMeta   476|533   DORODNY_OCHOTNIK   107   2021/02/04 02:34:02   2/2   2021/02/06 10:34:41   
Taran   383|587   FetaAkaMeta   459|513   Alu.   106   2021/02/04 02:34:15   1/2   2021/02/06 09:49:06   
brak notatek   387|589   FetaAkaMeta   477|534   DORODNY_OCHOTNIK   105   2021/02/04 02:34:40   2/3   2021/02/06 09:30:46   
Taran   387|589   FetaAkaMeta   476|533   DORODNY_OCHOTNIK   105   2021/02/04 02:35:09   1/3   2021/02/06 09:21:09   
Taran   425|640   FetaAkaMeta   460|539   DORODNY_OCHOTNIK   106   2021/02/04 02:35:30   1/5   2021/02/06 10:15:54   
Taran   439|580   FetaAkaMeta   422|538   Bebikson   45   2021/02/05 08:58:12   1/5   2021/02/06 08:34:08   
Taran   435|565   FetaAkaMeta   459|513   Alu.   57   2021/02/05 08:58:40   1/1   2021/02/06 14:48:23   
Taran   435|561   FetaAkaMeta   448|517   Alu.   45   2021/02/05 08:58:52   3/5   2021/02/06 08:52:37   
Taran   442|571   FetaAkaMeta   434|520   Alu.   51   2021/02/05 08:59:44   1/1   2021/02/06 11:52:59   
Taran   438|570   FetaAkaMeta   456|514   Alu.   58   2021/02/05 08:59:50   3/3   2021/02/06 15:38:00   
Taran   454|549   FetaAkaMeta   407|555   rugasz   47   2021/02/05 09:00:30   2/5   2021/02/06 09:41:10   
Taran   426|580   FetaAkaMeta   464|543   DORODNY_OCHOTNIK   53   2021/02/05 09:00:50   3/5   2021/02/06 12:38:16   
Taran   436|568   FetaAkaMeta   434|520   Alu.   48   2021/02/05 09:01:37   3/4   2021/02/06 10:02:55   
Taran   435|566   FetaAkaMeta   391|547   wojna3333   47   2021/02/05 09:02:01   3/5   2021/02/06 09:59:44   
Taran   438|580   FetaAkaMeta   468|539   DORODNY_OCHOTNIK   50   2021/02/05 09:02:21   2/5   2021/02/06 11:29:57   
Taran   430|578   FetaAkaMeta   426|524   Bebikson   54   2021/02/05 09:03:10   3/4   2021/02/06 13:15:17   
Taran   430|579   FetaAkaMeta   427|521   Bebikson   58   2021/02/05 09:04:36   3/4   2021/02/06 15:19:32   
Taran brak notatek   438|566   FetaAkaMeta   390|547   wojna3333   51   2021/02/05 09:05:07   5/5   2021/02/06 11:58:21   
Taran   436|562   FetaAkaMeta   447|517   Alu.   46   2021/02/05 09:05:23   2/3   2021/02/06 09:13:02   
Taran (1)   435|575   FetaAkaMeta   396|545   fluffy1321   49   2021/02/05 09:05:48   2/3   2021/02/06 10:43:25   
Taran   435|575   FetaAkaMeta   442|518   Alu.   57   2021/02/05 09:05:58   3/3   2021/02/06 15:00:36   
Taran   427|571   FetaAkaMeta   431|518   Bebikson   53   2021/02/05 09:06:10   3/4   2021/02/06 12:47:07   
Taran   432|568   FetaAkaMeta   427|525   Bebikson   43   2021/02/05 09:06:36   1/3   2021/02/06 07:39:24   
Taran   432|568   FetaAkaMeta   458|525   DORODNY_OCHOTNIK   50   2021/02/05 09:06:44   3/3   2021/02/06 11:17:02   
Taran   427|575   FetaAkaMeta   381|547   DORODNY_OCHOTNIK   53   2021/02/05 09:08:33   3/4   2021/02/06 13:11:25   
Taran   439|571   FetaAkaMeta   391|547   wojna3333   53   2021/02/05 09:08:53   3/4   2021/02/06 13:05:56   
Taran   386|515   FetaAkaMeta   437|540   Primokret   56   2021/02/05 09:10:20   1/3   2021/02/06 14:45:16   
Taran   439|559   FetaAkaMeta   385|540   DORODNY_OCHOTNIK   57   2021/02/05 09:10:35   1/1   2021/02/06 14:59:29   
Taran   426|610   FetaAkaMeta   405|561   rugasz   53   2021/02/05 09:10:44   3/3   2021/02/06 12:56:41   
Taran   424|579   FetaAkaMeta   427|521   Bebikson   58   2021/02/05 09:11:13   4/4   2021/02/06 15:26:08   
Taran   424|579   FetaAkaMeta   452|541   DORODNY_OCHOTNIK   47   2021/02/05 09:11:22   2/4   2021/02/06 09:46:25   
Taran   395|588   FetaAkaMeta   388|541   DORODNY_OCHOTNIK   47   2021/02/05 09:11:44   2/5   2021/02/06 09:56:41   
Taran   387|583   FetaAkaMeta   422|538   Bebikson   57   2021/02/05 09:12:02   4/4   2021/02/06 14:53:33   
Taran   427|609   FetaAkaMeta   409|555   rugasz   56   2021/02/05 09:13:10   3/3   2021/02/06 14:51:57   
Taran   390|518   FetaAkaMeta   437|540   Primokret   51   2021/02/05 09:13:25   1/3   2021/02/06 12:15:07   
Taran   438|573   FetaAkaMeta   460|526   DORODNY_OCHOTNIK   51   2021/02/05 09:16:10   4/5   2021/02/06 12:17:51   
Taran   431|572   FetaAkaMeta   436|521   Alu.   51   2021/02/05 09:16:29   3/3   2021/02/06 11:57:53   
Taran   462|549   FetaAkaMeta   423|531   Bebikson   42   2021/02/05 09:17:14   1/2   2021/02/06 07:39:32   
Taran   426|568   FetaAkaMeta   447|517   Alu.   55   2021/02/05 09:17:24   3/3   2021/02/06 14:00:59   
Taran   426|568   FetaAkaMeta   449|526   Alu.   47   2021/02/05 09:17:35   2/3   2021/02/06 10:14:00   
Taran   426|554   FetaAkaMeta   385|540   DORODNY_OCHOTNIK   43   2021/02/05 09:17:48   1/3   2021/02/06 07:51:41   
Taran   427|570   FetaAkaMeta   432|522   Bebikson   48   2021/02/05 09:18:43   2/5   2021/02/06 10:26:50   
Taran   432|580   FetaAkaMeta   426|524   Bebikson   56   2021/02/05 09:19:20   3/4   2021/02/06 14:39:21   
Taran   432|580   FetaAkaMeta   424|523   Bebikson   57   2021/02/05 09:19:30   4/4   2021/02/06 15:18:12   
Taran   426|571   FetaAkaMeta   445|521   DORODNY_OCHOTNIK   53   2021/02/05 09:20:21   4/5   2021/02/06 13:11:52   
Taran   422|553   FetaAkaMeta   466|529   DORODNY_OCHOTNIK   50   2021/02/05 09:20:40   5/5   2021/02/06 11:26:55   
Taran   422|553   FetaAkaMeta   462|528   DORODNY_OCHOTNIK   47   2021/02/05 09:20:54   1/5   2021/02/06 09:54:58   
Taran (1)   407|575   FetaAkaMeta   457|553   fluffy1321   54   2021/02/05 09:21:16   3/4   2021/02/06 13:48:19   
Taran   407|575   FetaAkaMeta   432|524   Bebikson   56   2021/02/05 09:21:26   4/4   2021/02/06 14:56:22   
Taran   432|570   FetaAkaMeta   439|521   Alu.   49   2021/02/05 09:21:33   3/4   2021/02/06 11:08:21   
Taran   432|570   FetaAkaMeta   441|527   Primokret   43   2021/02/05 09:21:42   1/4   2021/02/06 08:14:34   
Taran   434|572   FetaAkaMeta   454|529   Primokret   47   2021/02/05 09:22:26   1/2   2021/02/06 10:04:25   
Taran   435|563   FetaAkaMeta   452|515   Alu.   50   2021/02/05 09:22:39   2/2   2021/02/06 11:53:57   
Taran   435|573   FetaAkaMeta   396|589   CoTyTutajRobisz   42   2021/02/05 14:36:06   2/3   2021/02/06 12:33:26   
Taran   436|572   FetaAkaMeta   397|586   CoTyTutajRobisz   41   2021/02/05 14:36:26   1/1   2021/02/06 12:11:20   
Taran off   492|613   endyydne   399|582   CoTyTutajRobisz   98   2021/02/04 06:04:31   2/4   2021/02/06 09:07:59   
Taran off   492|613   endyydne   405|561   rugasz   101   2021/02/04 06:05:33   3/4   2021/02/06 10:52:55   
Taran off   492|613   endyydne   406|556   rugasz   103   2021/02/04 06:05:51   4/4   2021/02/06 11:50:04   
Taran off   492|613   endyydne   412|558   rugasz   97   2021/02/04 06:06:19   1/4   2021/02/06 08:40:09   
Taran off   482|603   endyydne   402|541   rugasz   101   2021/02/04 06:21:11   7/12   2021/02/06 11:04:05   
Taran   482|603   endyydne   451|513   Alu.   95   2021/02/04 06:21:29   2/12   2021/02/06 07:56:09   
Taran   485|602   endyydne   427|525   Bebikson   96   2021/02/04 06:21:43   2/10   2021/02/06 08:34:14   
Taran   485|602   endyydne   443|516   Alu.   95   2021/02/04 06:21:49   1/10   2021/02/06 08:12:41   
Taran off   490|607   endyydne   401|555   rugasz   103   2021/02/04 06:22:07   8/14   2021/02/06 12:03:17   
Taran   485|592   endyydne   386|543   DORODNY_OCHOTNIK   110   2021/02/04 06:22:57   3/3   2021/02/06 15:54:54   
Taran Full O   485|592   endyydne   390|546   wojna3333   105   2021/02/04 06:23:11   1/3   2021/02/06 13:21:39   
Taran   483|616   endyydne   432|524   Bebikson   105   2021/02/04 06:24:14   9/11   2021/02/06 13:11:25   
Taran   483|616   endyydne   449|526   Alu.   96   2021/02/04 06:24:24   2/11   2021/02/06 08:30:54   
Taran   473|617   endyydne   432|522   Bebikson   103   2021/02/04 06:24:46   3/5   2021/02/06 12:18:12   
Taran   473|617   endyydne   418|537   Alu.   97   2021/02/04 06:24:59   1/5   2021/02/06 08:58:49   
Taran fejk   473|617   endyydne   395|549   wojna3333   103   2021/02/04 06:25:05   4/5   2021/02/06 12:18:49   
Taran   490|607   endyydne   400|570   CoTyTutajRobisz   97   2021/02/04 06:29:22   4/14   2021/02/06 09:10:16   
Taran   482|600   endyydne   405|529   Bebikson   104   2021/02/04 07:18:20   1/3   2021/02/06 13:51:23   
Taran   487|594   endyydne   427|521   Bebikson   94   2021/02/04 07:18:41   1/4   2021/02/06 08:31:36   
Taran   487|594   endyydne   431|517   Bebikson   95   2021/02/04 07:19:02   3/4   2021/02/06 08:54:21   
Taran off   490|607   endyydne   411|553   rugasz   95   2021/02/04 08:33:19   5/14   2021/02/06 10:23:42   
Taran off   483|616   endyydne   401|572   rugasz   93   2021/02/04 09:31:41   4/11   2021/02/06 09:59:47   
Taran   485|602   endyydne   397|569   CoTyTutajRobisz   93   2021/02/04 09:46:07   5/10   2021/02/06 10:43:07   
Taran   485|602   endyydne   451|514   Alu.   94   2021/02/04 09:46:13   6/10   2021/02/06 10:54:20   
Taran   485|602   endyydne   410|536   Bebikson   99   2021/02/04 10:17:02   9/10   2021/02/06 14:19:04   
Taran   485|602   endyydne   437|524   Alu.   91   2021/02/04 10:17:10   3/10   2021/02/06 09:59:14   
Taran off   485|602   endyydne   402|557   rugasz   94   2021/02/04 10:17:20   7/10   2021/02/06 11:27:46   
Taran   487|583   endyydne   400|570   CoTyTutajRobisz   87   2021/02/04 12:08:41   4/15   2021/02/06 09:57:37   
Taran   487|583   endyydne   431|517   Bebikson   86   2021/02/04 12:08:50   3/15   2021/02/06 09:13:43   
Taran   482|603   endyydne   444|523   DORODNY_OCHOTNIK   88   2021/02/04 12:10:24   4/12   2021/02/06 10:18:06   
Taran   474|550   endyydne   382|538   DORODNY_OCHOTNIK   92   2021/02/04 12:32:46   5/6   2021/02/06 12:52:07   
Taran fejk   474|550   endyydne   391|547   wojna3333   83   2021/02/04 12:32:56   1/6   2021/02/06 07:48:23   
Taran fejk   474|550   endyydne   391|547   wojna3333   83   2021/02/04 12:33:27   2/6   2021/02/06 07:48:54   
Taran   474|550   endyydne   379|549   DORODNY_OCHOTNIK   95   2021/02/04 12:33:34   6/6   2021/02/06 14:02:29   
Taran   470|569   endyydne   396|575   CoTyTutajRobisz   74   2021/02/04 19:04:18   2/5   2021/02/06 09:44:24   
Taran   470|569   endyydne   402|524   Bebikson   81   2021/02/04 19:04:34   4/5   2021/02/06 13:32:44   
Taran   485|592   endyydne   416|546   Alu.   82   2021/02/04 20:32:02   2/3   2021/02/06 15:43:32   
Taran   471|561   endyydne   408|532   Bebikson   69   2021/02/04 22:09:30   4/11   2021/02/06 10:16:49   
Taran   454|566   endyydne   424|523   Bebikson   52   2021/02/05 06:52:26   1/2   2021/02/06 10:10:54   
Taran   454|566   endyydne   401|549   rugasz   55   2021/02/05 06:52:34   2/2   2021/02/06 11:51:56   
