WhiteSeagull
527|634
Taran,580|559,17.12.19 12:14:35:015,Złowieszczy Wieszcz
Taran,586|643,17.12.19 13:18:20:279,Pantera Jasło
Taran,560|590,17.12.19 13:49:34:135,CZARNA STOPA
525|630
Taran,562|570,17.12.19 07:02:00:037,PE1NN
Taran,587|668,17.12.19 07:06:23:374,St3rydPC
Taran,567|609,17.12.19 07:07:27:832,PE1NN
Taran,571|557,17.12.19 07:14:15:074,St3rydPC
Taran,565|618,17.12.19 07:24:05:694,ElSamag
Taran,572|611,17.12.19 07:30:45:136,PE1NN
Taran,549|681,17.12.19 07:33:11:973,St3rydPC
Taran,563|648,17.12.19 07:36:02:851,ElSamag
Taran,570|670,17.12.19 07:49:28:548,St3rydPC
Taran,531|687,17.12.19 07:58:07:931,St3rydPC
Taran,569|667,17.12.19 08:08:43:378,St3rydPC
Taran,563|565,17.12.19 08:13:34:852,St3rydPC
Taran,565|551,17.12.19 08:13:59:199,St3rydPC
Taran,614|626,17.12.19 08:33:58:357,St3rydPC
Taran,571|603,17.12.19 08:38:47:867,PE1NN
Taran,576|555,17.12.19 09:09:20:435,St3rydPC
Taran,579|557,17.12.19 09:13:30:626,St3rydPC
Taran,534|685,17.12.19 09:48:57:582,St3rydPC
Taran,572|640,17.12.19 10:18:27:738,ElSamag
Taran,573|565,17.12.19 10:21:56:317,St3rydPC
nieOpisany,560|641,17.12.19 10:28:24:902,St3rydPC
nieOpisany,560|641,17.12.19 10:28:25:102,St3rydPC
nieOpisany,549|643,17.12.19 10:33:20:006,St3rydPC
nieOpisany,549|646,17.12.19 10:33:21:091,St3rydPC
Taran,545|578,17.12.19 11:39:55:719,CZARNA STOPA
Taran,548|577,17.12.19 12:33:15:758,CZARNA STOPA
528|633
Taran,567|645,17.12.19 07:02:14:258,ElSamag
Taran,577|625,17.12.19 07:05:11:191,PE1NN
Taran,575|665,17.12.19 07:51:38:633,St3rydPC
Taran,579|624,17.12.19 07:59:41:268,PE1NN
Taran,577|655,17.12.19 08:03:07:883,St3rydPC
Taran,557|579,17.12.19 08:12:13:585,St3rydPC
Taran,579|621,17.12.19 08:14:55:256,PE1NN
Taran,587|657,17.12.19 08:15:13:667,Mahazelus
Taran,577|664,17.12.19 08:22:59:253,St3rydPC
Taran,610|550,17.12.19 08:33:09:108,St3rydPC
Taran,566|552,17.12.19 08:37:57:778,St3rydPC
Taran,580|621,17.12.19 08:38:59:530,PE1NN
Taran,573|571,17.12.19 08:44:29:156,St3rydPC
Taran,524|515,17.12.19 09:04:50:044,St3rydPC
Taran,521|515,17.12.19 09:04:55:271,St3rydPC
Taran,567|657,17.12.19 09:15:16:424,ElSamag
Taran,566|565,17.12.19 09:25:14:580,St3rydPC
Taran,567|565,17.12.19 09:37:45:838,St3rydPC
Taran,579|556,17.12.19 09:55:07:009,St3rydPC
Taran,538|678,17.12.19 10:08:04:542,St3rydPC
Taran,579|569,17.12.19 10:28:49:468,St3rydPC
Taran,571|562,17.12.19 10:50:33:550,St3rydPC
Taran,609|542,17.12.19 10:55:09:751,St3rydPC
nieOpisany,557|644,17.12.19 10:55:18:407,St3rydPC
Taran,582|566,17.12.19 10:57:26:803,Lukai
529|624
Taran,570|623,17.12.19 07:02:17:924,ElSamag
Taran,570|616,17.12.19 07:18:03:398,Mahazelus
Taran,539|673,17.12.19 07:20:15:535,Lukai
Taran,563|648,17.12.19 07:24:03:415,ElSamag
Taran,588|566,17.12.19 07:35:26:617,Mentler
Taran,589|567,17.12.19 07:35:57:983,Mentler
Taran,567|648,17.12.19 08:53:05:231,ElSamag
Taran,573|636,17.12.19 09:13:51:800,ElSamag
Taran,582|615,17.12.19 09:34:36:116,Mentler
Taran,579|563,17.12.19 09:36:18:334,Mentler
Taran,570|647,17.12.19 09:54:50:433,ElSamag
Taran,603|597,17.12.19 10:28:39:614,ElSamag
Taran,558|631,17.12.19 11:31:00:824,Mahazelus
Taran,559|624,17.12.19 11:35:37:831,Mahazelus
Taran,558|632,17.12.19 11:37:51:317,Mahazelus
Taran,559|627,17.12.19 11:39:39:485,Mahazelus
Taran,559|628,17.12.19 11:42:49:044,Mahazelus
Taran,558|615,17.12.19 11:45:32:360,Mahazelus
Taran,559|629,17.12.19 11:46:51:835,Mahazelus
Taran,583|649,17.12.19 12:13:50:834,Mentler
Taran,607|596,17.12.19 12:20:51:446,ElSamag
528|622
Taran,547|646,17.12.19 07:02:24:525,Vazqu
Taran,550|659,17.12.19 07:23:49:803,Psuja90
Taran,575|567,17.12.19 07:28:19:540,ElSamag
Taran,550|660,17.12.19 07:46:01:838,Psuja90
Taran,550|660,17.12.19 07:46:05:322,Psuja90
Taran,563|648,17.12.19 08:19:14:221,ElSamag
Taran,574|556,17.12.19 08:27:39:867,Lukai
Taran,568|552,17.12.19 08:31:30:649,Lukai
Taran,582|562,17.12.19 08:33:53:181,Lukai
Taran,576|556,17.12.19 08:58:00:441,Lukai
Taran,568|618,17.12.19 09:22:41:811,Mahazelus
Taran,596|653,17.12.19 09:56:10:446,Cuthbert
Taran,542|577,17.12.19 09:57:41:063,ElSamag
Taran,572|640,17.12.19 10:04:04:212,ElSamag
Taran,553|612,17.12.19 10:09:54:191,Mahazelus
Taran,555|623,17.12.19 10:12:27:627,Mahazelus
Taran,554|612,17.12.19 10:35:43:092,Mahazelus
Taran,556|625,17.12.19 10:44:07:310,Mahazelus
Taran,556|627,17.12.19 10:51:55:482,Mahazelus
Taran,557|624,17.12.19 11:09:52:012,Mahazelus
Taran,554|609,17.12.19 11:09:53:999,Mahazelus
Taran,600|590,17.12.19 11:48:30:379,Lukai
Taran,567|657,17.12.19 12:19:02:661,ElSamag
Taran,629|612,17.12.19 13:25:42:878,Mentler
525|659
Taran,581|593,17.12.19 07:03:14:709,ElSamag
Taran,581|593,17.12.19 07:03:17:357,ElSamag
Taran,593|603,17.12.19 07:43:09:590,ElSamag
Taran,593|603,17.12.19 07:43:11:574,ElSamag
Taran,591|625,17.12.19 08:22:26:947,ElSamag
Taran,623|618,17.12.19 10:54:37:896,Mentler
Taran,601|601,17.12.19 11:11:37:452,ElSamag
Szlachcic,561|658,17.12.19 12:56:27:486,Mentler
Szlachcic,561|658,17.12.19 12:56:27:686,Mentler
Taran,575|589,17.12.19 13:46:51:017,ElSamag
533|629
Taran,562|567,17.12.19 07:03:22:921,PE1NN
Taran,570|647,17.12.19 07:12:00:661,ElSamag
Taran,550|682,17.12.19 07:12:46:159,St3rydPC
Taran,575|663,17.12.19 07:16:45:693,St3rydPC
Taran,530|681,17.12.19 07:22:25:475,St3rydPC
Taran,528|681,17.12.19 07:26:07:163,St3rydPC
Taran,565|602,17.12.19 07:28:10:798,PE1NN
Taran,565|569,17.12.19 07:29:04:005,PE1NN
Taran,563|609,17.12.19 07:32:39:112,PE1NN
Taran,574|638,17.12.19 07:33:17:384,ElSamag
Taran,567|561,17.12.19 07:35:24:414,St3rydPC
Taran,579|663,17.12.19 07:58:43:923,St3rydPC
Taran,557|587,17.12.19 08:17:22:669,CZARNA STOPA
Taran,582|661,17.12.19 08:34:40:605,St3rydPC
Taran,570|560,17.12.19 08:36:31:942,St3rydPC
Taran,576|632,17.12.19 08:38:36:051,St3rydPC
Taran,565|658,17.12.19 08:42:04:994,St3rydPC
Taran,580|552,17.12.19 08:52:24:158,St3rydPC
Taran,581|664,17.12.19 08:58:31:920,St3rydPC
Taran,577|632,17.12.19 09:05:43:445,St3rydPC
Taran,569|545,17.12.19 09:22:06:232,St3rydPC
Taran,595|581,17.12.19 09:25:08:748,St3rydPC
Taran,571|557,17.12.19 09:59:23:825,St3rydPC
Taran,533|675,17.12.19 10:06:48:137,St3rydPC
Taran,597|580,17.12.19 10:24:46:807,St3rydPC
Taran,563|584,17.12.19 10:51:56:429,CZARNA STOPA
Taran,597|578,17.12.19 11:01:53:165,St3rydPC
Taran,600|578,17.12.19 11:42:03:952,St3rydPC
Taran,607|560,17.12.19 13:11:53:152,Mentler
Taran,585|648,17.12.19 13:43:44:964,ElSamag
528|601
Taran,565|619,17.12.19 07:03:35:275,ElSamag
Taran,563|571,17.12.19 09:22:53:035,ElSamag
533|631
Taran,578|627,17.12.19 07:03:56:770,PE1NN
Taran,565|551,17.12.19 07:07:23:624,St3rydPC
Taran,576|624,17.12.19 07:26:26:814,PE1NN
Taran,573|625,17.12.19 07:39:01:533,PE1NN
Taran,579|556,17.12.19 07:52:57:487,St3rydPC
Taran,575|630,17.12.19 08:08:34:389,St3rydPC
Taran,567|561,17.12.19 08:25:20:595,St3rydPC
Taran,576|632,17.12.19 08:35:56:579,St3rydPC
Taran,576|566,17.12.19 08:44:21:018,St3rydPC
Taran,587|662,17.12.19 08:45:32:618,St3rydPC
Taran,578|553,17.12.19 08:46:55:183,St3rydPC
Taran,571|562,17.12.19 08:52:42:357,St3rydPC
Taran,535|685,17.12.19 09:01:38:653,St3rydPC
Taran,577|632,17.12.19 09:03:15:206,St3rydPC
Taran,570|560,17.12.19 09:25:31:526,St3rydPC
Taran,608|646,17.12.19 09:26:46:348,ElSamag
Taran,580|552,17.12.19 09:39:48:478,St3rydPC
Taran,591|545,17.12.19 10:12:31:684,PE1NN
Taran,569|545,17.12.19 10:13:25:807,St3rydPC
Taran,571|557,17.12.19 10:48:52:856,St3rydPC
Taran,597|578,17.12.19 11:37:06:522,St3rydPC
Taran,546|576,17.12.19 11:59:12:921,CZARNA STOPA
Taran,566|673,17.12.19 12:51:59:205,ElSamag
Taran,542|577,17.12.19 13:29:20:848,ElSamag
525|636
Taran,615|548,17.12.19 07:03:57:900,Mentler
Taran,649|594,17.12.19 07:25:49:313,Mentler
Taran,547|550,17.12.19 07:28:40:950,aaasiulek
Taran,644|593,17.12.19 07:30:02:587,Mentler
Taran,558|648,17.12.19 07:36:27:163,Lukai
Taran,649|592,17.12.19 07:43:27:112,Mentler
Taran,644|589,17.12.19 08:08:00:163,Mentler
Taran,549|655,17.12.19 08:18:05:323,Lukai
Taran,651|594,17.12.19 08:18:36:055,Mentler
Taran,650|591,17.12.19 08:18:42:758,Mentler
Taran,549|664,17.12.19 08:25:14:497,Lukai
Taran,551|663,17.12.19 08:41:48:198,Lukai
Taran,558|654,17.12.19 08:44:17:309,Lukai
Taran,614|542,17.12.19 08:44:23:040,Mentler
Taran,536|672,17.12.19 08:45:35:205,Lukai
Taran,650|588,17.12.19 08:49:52:677,Mentler
Taran,548|658,17.12.19 08:51:33:129,Lukai
Taran,570|638,17.12.19 08:58:40:951,ElSamag
Taran,570|638,17.12.19 08:58:47:240,ElSamag
